Date,Open,High,Low,Close,Adj Close,Change %,,,,
9/16/2019,2996.4,3002.189941,2990.669922,2997.959961,2997.959961,-0.31%,,,,
9/17/2019,2995.7,3006.209961,2993.72998,3005.699951,3005.699951,0.26%,,,2989.19104,Late September Average Closing
9/18/2019,3001.5,3007.830078,2978.570068,3006.72998,3006.72998,0.03%,,,2932.688989,Early October Average Closing
9/19/2019,3010.4,3021.98999,3003.159912,3006.790039,3006.790039,0.00%,,,,
9/20/2019,3008.4,3016.370117,2984.679932,2992.070068,2992.070068,-0.49%,,,-1.890212096,Average Return for First 2 Weeks of October
9/23/2019,2983.5,2999.149902,2982.22998,2991.780029,2991.780029,-0.01%,,,,
9/24/2019,3002.4,3007.97998,2957.72998,2966.600098,2966.600098,-0.84%,,,,
9/25/2019,2968.4,2989.820068,2952.860107,2984.870117,2984.870117,0.62%,,,,
9/26/2019,2985.7,2987.280029,2963.709961,2977.620117,2977.620117,-0.24%,,,,
9/27/2019,2985.5,2987.310059,2945.530029,2961.790039,2961.790039,-0.53%,,,,
9/30/2019,2967.1,2983.850098,2967.070068,2976.73999,2976.73999,0.50%,,,,
10/1/2019,2983.7,2992.530029,2938.699951,2940.25,2940.25,-1.23%,,,,
10/2/2019,2924.8,2924.780029,2874.929932,2887.610107,2887.610107,-1.79%,,,,
10/3/2019,2885.4,2911.129883,2855.939941,2910.629883,2910.629883,0.80%,,,,
10/4/2019,2918.6,2953.73999,2918.560059,2952.01001,2952.01001,1.42%,,,,
10/7/2019,2944.2,2959.75,2935.679932,2938.790039,2938.790039,-0.45%,,,,
10/8/2019,2920.4,2925.469971,2892.659912,2893.060059,2893.060059,-1.56%,,,,
10/9/2019,2911.1,2929.320068,2907.409912,2919.399902,2919.399902,0.91%,,,,
10/10/2019,2918.6,2948.459961,2917.120117,2938.129883,2938.129883,0.64%,,,,
10/11/2019,2963.1,2993.280029,2963.070068,2970.27002,2970.27002,1.09%,,,,
